protein	goTerm	proProNeighbor	goNeighbor	goAnnotatedProProNeighbors	score	label
FBgn0000629	GO:0042054	182	12	1	0.005154639175257732	FP
FBgn0263740	GO:0042054	9	12	0	0.0	FN
FBgn0039543	GO:0005777	31	90	1	0.008264462809917356	FP
FBgn0027094	GO:0005777	36	90	0	0.0	FN
FBgn0004372	GO:0000003	8	3	0	0.0	FP
FBgn0035245	GO:0000003	1	3	0	0.0	FN
FBgn0015299	GO:0005667	62	88	2	0.013333333333333334	FP
FBgn0264695	GO:0005667	186	88	1	0.0036496350364963502	FN
FBgn0038952	GO:0004743	13	6	0	0.0	FP
FBgn0062588	GO:0004743	0	6	0	0.0	FN
FBgn0004647	GO:0005515	427	958	103	0.07436823104693141	FP
FBgn0031229	GO:0005515	71	958	14	0.013605442176870748	TN
FBgn0030603	GO:0007274	23	57	0	0.0	FP
FBgn0003089	GO:0007274	28	57	0	0.0	FN
FBgn0030204	GO:0032590	5	67	0	0.0	FP
FBgn0013263	GO:0032590	67	67	0	0.0	FN
FBgn0039250	GO:0072686	10	25	1	0.02857142857142857	FP
FBgn0250791	GO:0072686	193	25	1	0.0045871559633027525	FN
FBgn0016693	GO:0007291	98	60	2	0.012658227848101266	FP
FBgn0030268	GO:0007291	13	60	0	0.0	FN
FBgn0038747	GO:0005737	64	1863	17	0.008822003113648157	FP
FBgn0025827	GO:0005737	1	1863	0	0.0	FN
FBgn0001311	GO:0006035	24	4	0	0.0	FP
FBgn0021776	GO:0006035	16	4	0	0.0	FN
FBgn0011280	GO:0005576	6	499	1	0.0019801980198019802	FP
FBgn0263477	GO:0005576	0	499	0	0.0	FN
FBgn0023415	GO:0045434	16	16	0	0.0	FP
FBgn0262373	GO:0045434	0	16	0	0.0	FN
FBgn0027546	GO:0001654	62	21	0	0.0	FP
FBgn0000810	GO:0001654	107	21	1	0.0078125	FN
FBgn0267698	GO:0006468	188	238	17	0.03990610328638498	FP
FBgn0030310	GO:0006468	6	238	0	0.0	FN
FBgn0002932	GO:0005737	176	1863	81	0.039725355566454144	FP
FBgn0265959	GO:0005737	7	1863	2	0.0010695187165775401	FN
FBgn0036158	GO:0016020	2	1524	0	0.0	FP
FBgn0028427	GO:0016020	109	1524	6	0.003674219228413962	FN
FBgn0085421	GO:0005886	48	1052	9	0.008181818181818182	FP
FBgn0283657	GO:0005886	26	1052	0	0.0	FN
FBgn0030365	GO:0000974	140	12	8	0.05263157894736842	FP
FBgn0000659	GO:0000974	28	12	0	0.0	FN
FBgn0086906	GO:0003779	22	76	3	0.030612244897959183	FP
FBgn0002466	GO:0003779	26	76	0	0.0	FN
FBgn0035402	GO:0090364	57	2	0	0.0	FP
FBgn0033301	GO:0090364	0	2	0	0.0	FN
FBgn0044049	GO:0005615	2	685	1	0.001455604075691412	FP
FBgn0005536	GO:0005615	88	685	0	0.0	FN
FBgn0051272	GO:0022857	0	201	0	0.0	FP
FBgn0031504	GO:0022857	3	201	0	0.0	FN
FBgn0262576	GO:0005575	0	2646	0	0.0	FP
FBgn0052062	GO:0005575	61	2646	4	0.0014776505356483192	FN
FBgn0010263	GO:0060856	1002	2	0	0.0	FP
FBgn0000719	GO:0060856	53	2	0	0.0	FN
FBgn0005664	GO:0031012	4	130	0	0.0	FP
FBgn0035152	GO:0031012	8	130	0	0.0	FN
FBgn0053552	GO:0036297	0	12	0	0.0	FP
FBgn0003964	GO:0036297	62	12	0	0.0	FN
FBgn0026376	GO:0007165	26	199	9	0.04	FP
FBgn0003360	GO:0007165	219	199	10	0.023923444976076555	TN
FBgn0037482	GO:0000493	7	2	1	0.1111111111111111	TP
FBgn0052350	GO:0000493	11	2	0	0.0	FN
FBgn0052673	GO:0072659	0	41	0	0.0	FP
FBgn0267327	GO:0072659	0	41	0	0.0	FN
FBgn0086908	GO:0048477	99	248	9	0.025936599423631124	FP
FBgn0026181	GO:0048477	46	248	5	0.017006802721088437	TN
FBgn0259960	GO:0008150	0	1771	0	0.0	FP
FBgn0050096	GO:0008150	0	1771	0	0.0	FN
FBgn0020493	GO:0007488	16	10	2	0.07692307692307693	FP
FBgn0035588	GO:0007488	14	10	0	0.0	FN
FBgn0031995	GO:0005977	21	8	1	0.034482758620689655	FP
FBgn0003482	GO:0005977	9	8	0	0.0	FN
FBgn0260222	GO:0005758	1	19	0	0.0	FP
FBgn0033101	GO:0005758	54	19	0	0.0	FN
FBgn0036483	GO:0043984	8	2	0	0.0	FP
FBgn0040005	GO:0043984	11	2	0	0.0	FN
FBgn0261393	GO:0106435	5	25	0	0.0	FP
FBgn0038601	GO:0106435	27	25	0	0.0	FN
FBgn0036623	GO:0003841	75	4	0	0.0	FP
FBgn0020388	GO:0003841	157	4	0	0.0	FN
FBgn0037369	GO:0001680	14	1	0	0.0	FP
FBgn0037100	GO:0001680	3	1	0	0.0	FN
FBgn0004242	GO:0005544	30	13	1	0.023255813953488372	FP
FBgn0004394	GO:0005544	6	13	0	0.0	FN
FBgn0031266	GO:0003729	113	205	15	0.04716981132075472	FP
FBgn0036757	GO:0003729	1	205	0	0.0	FN
FBgn0035458	GO:0035725	0	61	0	0.0	FP
FBgn0030766	GO:0035725	0	61	0	0.0	FN
FBgn0025680	GO:0043153	26	12	2	0.05263157894736842	FP
FBgn0287873	GO:0043153	0	12	0	0.0	FN
FBgn0038601	GO:0003677	27	610	4	0.006279434850863423	FP
FBgn0051698	GO:0003677	0	610	0	0.0	FN
FBgn0030932	GO:0019953	14	220	0	0.0	FP
FBgn0266756	GO:0019953	6	220	0	0.0	FN
FBgn0285947	GO:0002181	71	101	3	0.01744186046511628	FP
FBgn0036829	GO:0002181	4	101	0	0.0	FN
FBgn0266667	GO:0008013	57	12	1	0.014492753623188406	FP
FBgn0039068	GO:0008013	15	12	0	0.0	FN
FBgn0288433	GO:0035277	0	23	0	0.0	FP
FBgn0004198	GO:0035277	63	23	0	0.0	FN
FBgn0033856	GO:0004459	1	2	0	0.0	FP
FBgn0011928	GO:0004459	0	2	0	0.0	FN
FBgn0033460	GO:0090110	98	4	2	0.0196078431372549	FP
FBgn0003248	GO:0090110	6	4	0	0.0	FN
FBgn0026630	GO:0016020	49	1524	7	0.004450095359186269	FP
FBgn0000259	GO:0016020	376	1524	13	0.006842105263157895	FN
FBgn0036734	GO:0005685	110	20	7	0.05384615384615385	FP
FBgn0052206	GO:0005685	4	20	0	0.0	FN
FBgn0024277	GO:0005085	42	84	0	0.0	FP
FBgn0040028	GO:0005085	32	84	0	0.0	FN
FBgn0267376	GO:0030041	8	12	0	0.0	FP
FBgn0003870	GO:0030041	109	12	0	0.0	FN
FBgn0014366	GO:0005681	123	52	19	0.10857142857142857	TP
FBgn0031309	GO:0005681	29	52	0	0.0	FN
