protein	goTerm	proteinNeighbor	goProteinEdge	goEdge	fScore
FBgn0284249	GO:0000981	16	4	414	0.018604651162790697
FBgn0053193	GO:0006915	89	2	51	0.02857142857142857
FBgn0284084	GO:0060070	17	3	16	0.1818181818181818
FBgn0262126	GO:0008270	42	2	515	0.007181328545780969
FBgn0265193	GO:0001228	8	1	91	0.020202020202020204
FBgn0011207	GO:0048137	47	1	15	0.03225806451612903
FBgn0031592	GO:0035241	62	1	6	0.02941176470588235
FBgn0010877	GO:0016477	22	1	56	0.025641025641025637
FBgn0037583	GO:0000398	39	1	228	0.00749063670411985
FBgn0010774	GO:0000346	248	7	7	0.05490196078431372
FBgn0032816	GO:0000976	67	2	102	0.023668639053254437
FBgn0003256	GO:0004707	382	3	6	0.015463917525773195
FBgn0033873	GO:0008234	23	1	23	0.043478260869565216
FBgn0038870	GO:0006493	44	1	32	0.026315789473684213
FBgn0033274	GO:0006099	8	1	37	0.044444444444444446
FBgn0044324	GO:0006325	39	4	119	0.05063291139240507
FBgn0010105	GO:0008038	5	1	5	0.20000000000000004
FBgn0031434	GO:0005515	6	3	957	0.006230529595015576
FBgn0001122	GO:0005834	62	4	13	0.10666666666666666
FBgn0016797	GO:0031290	95	3	11	0.05660377358490566
FBgn0043903	GO:0050829	81	1	113	0.010309278350515464
FBgn0003256	GO:0008543	382	12	24	0.05911330049261083
FBgn0032175	GO:0005737	17	8	1862	0.008515167642362959
FBgn0025781	GO:0005737	50	16	1862	0.016736401673640166
FBgn0264270	GO:0003730	132	4	121	0.0316205533596838
FBgn0004837	GO:0007219	92	4	24	0.06896551724137931
FBgn0002921	GO:0000166	164	1	71	0.00851063829787234
FBgn0003450	GO:0004252	4	2	279	0.01413427561837456
FBgn0086372	GO:0006898	57	2	16	0.0547945205479452
FBgn0034825	GO:0016491	30	1	214	0.008196721311475409
FBgn0002413	GO:0005737	277	106	1862	0.09911173445535297
FBgn0035689	GO:0006974	49	1	38	0.022988505747126436
FBgn0086356	GO:0005096	62	3	84	0.0410958904109589
FBgn0025355	GO:0006325	9	1	119	0.015625
FBgn0000529	GO:0003677	79	5	609	0.014534883720930234
FBgn0033912	GO:0006412	96	14	557	0.042879019908116385
FBgn0011648	GO:0071144	203	2	3	0.01941747572815534
FBgn0003042	GO:0005704	87	2	30	0.03418803418803419
FBgn0004378	GO:0007052	50	3	49	0.06060606060606061
FBgn0002542	GO:0005524	54	6	642	0.017241379310344827
FBgn0000120	GO:0016059	25	1	14	0.05128205128205128
FBgn0037363	GO:0016236	34	5	20	0.18518518518518517
FBgn0243512	GO:0005783	38	2	314	0.011363636363636366
FBgn0036141	GO:0045211	47	1	39	0.023255813953488372
FBgn0005586	GO:0007269	28	3	51	0.07594936708860758
FBgn0263705	GO:0005515	74	12	957	0.023278370514064017
FBgn0034707	GO:0016592	56	20	32	0.45454545454545453
FBgn0000577	GO:0000981	36	12	414	0.05333333333333333
FBgn0026207	GO:0005635	61	4	63	0.06451612903225806
FBgn0039306	GO:0005524	107	17	642	0.045393858477970624
FBgn0010407	GO:0007169	14	1	28	0.047619047619047616
FBgn0010434	GO:0005886	195	42	1051	0.06741573033707866
FBgn0086356	GO:0008104	62	2	68	0.030769230769230767
FBgn0017577	GO:0006270	139	15	23	0.18518518518518517
FBgn0028646	GO:0005739	37	4	622	0.012139605462822457
FBgn0262421	GO:0035195	3	2	155	0.02531645569620253
FBgn0037700	GO:0005634	9	4	2249	0.00354295837023915
FBgn0038320	GO:0030866	55	4	32	0.09195402298850575
FBgn0005649	GO:0035332	72	1	38	0.01818181818181818
FBgn0039120	GO:0017056	65	8	21	0.18604651162790697
FBgn0001942	GO:0000278	213	6	150	0.03305785123966942
FBgn0002734	GO:0000122	60	7	221	0.0498220640569395
FBgn0086356	GO:0007266	62	1	18	0.024999999999999998
FBgn0053519	GO:0004672	33	1	230	0.0076045627376425855
FBgn0260859	GO:0048193	74	10	35	0.1834862385321101
FBgn0011284	GO:0002181	166	41	100	0.3082706766917293
FBgn0262448	GO:0003730	2	1	121	0.016260162601626018
FBgn0038168	GO:0032039	26	11	13	0.5641025641025641
FBgn0285937	GO:0005737	57	14	1862	0.014590932777488274
FBgn0014189	GO:0000346	303	7	7	0.04516129032258064
FBgn0020272	GO:0005737	27	9	1862	0.009528851244044468
FBgn0039904	GO:0006355	112	10	501	0.03262642740619902
FBgn0262406	GO:0035279	4	1	20	0.08333333333333334
FBgn0000015	GO:0045944	73	26	323	0.13131313131313133
FBgn0003964	GO:0007298	63	2	106	0.023668639053254437
FBgn0013278	GO:0005737	88	33	1862	0.033846153846153845
FBgn0034518	GO:0004252	29	13	279	0.08441558441558443
FBgn0003015	GO:0007315	86	6	15	0.1188118811881188
FBgn0022702	GO:0008061	40	6	122	0.07407407407407407
FBgn0034833	GO:0003674	129	2	3149	0.0012202562538133005
FBgn0002413	GO:0044297	277	2	12	0.013840830449826992
FBgn0001137	GO:0007173	133	3	24	0.03821656050955414
FBgn0023083	GO:0004674	32	6	157	0.0634920634920635
FBgn0033518	GO:0005829	122	32	1081	0.05320033250207814
FBgn0032515	GO:0030422	96	3	11	0.056074766355140186
FBgn0029113	GO:0031510	46	1	1	0.042553191489361694
FBgn0041191	GO:0010507	166	1	20	0.010752688172043012
FBgn0038427	GO:0005794	7	1	239	0.008130081300813007
FBgn0266053	GO:0005515	35	11	957	0.02217741935483871
FBgn0003607	GO:0051276	126	9	67	0.09326424870466321
FBgn0036035	GO:0003676	68	3	368	0.013761467889908256
FBgn0033060	GO:0006396	82	2	132	0.018691588785046728
FBgn0027094	GO:0005524	37	6	642	0.017673048600883652
FBgn0032216	GO:0004843	79	3	39	0.05084745762711865
FBgn0026598	GO:0005515	34	18	957	0.03632694248234107
FBgn0264325	GO:0006914	45	5	55	0.09999999999999999
FBgn0020299	GO:0008078	43	1	12	0.03636363636363636
FBgn0260855	GO:0006888	60	15	68	0.234375
FBgn0051681	GO:0017171	2	1	135	0.014598540145985401
FBgn0011771	GO:0050807	26	3	12	0.15789473684210525
FBgn0013675	GO:0016020	114	25	1523	0.03054367745876604
FBgn0259937	GO:0031429	175	3	3	0.033707865168539325
FBgn0024234	GO:0005615	18	1	684	0.002849002849002849
FBgn0014020	GO:0007422	144	1	53	0.01015228426395939
FBgn0037619	GO:0000978	30	7	367	0.035264483627204024
FBgn0010313	GO:0031507	17	7	75	0.15217391304347824
FBgn0260397	GO:0006325	167	7	119	0.048951048951048945
FBgn0044323	GO:2000736	86	2	14	0.04
FBgn0003124	GO:0030496	284	4	29	0.025559105431309903
FBgn0032827	GO:0000822	42	3	4	0.13043478260869565
FBgn0265487	GO:0005634	89	24	2249	0.020530367835757058
FBgn0010408	GO:0022627	196	24	43	0.200836820083682
FBgn0039141	GO:0031594	33	1	95	0.015625
FBgn0013753	GO:0006357	52	6	614	0.018018018018018014
FBgn0036729	GO:0003674	15	4	3149	0.0025284450063211127
FBgn0052654	GO:0010494	52	1	16	0.029411764705882353
FBgn0004842	GO:0007186	2	1	155	0.012738853503184712
FBgn0001083	GO:0035317	14	1	23	0.05405405405405405
FBgn0003339	GO:0007432	39	2	10	0.0816326530612245
FBgn0033321	GO:0004252	69	17	279	0.09770114942528736
FBgn0014018	GO:0038061	262	2	2	0.015151515151515152
FBgn0259221	GO:0005524	44	8	642	0.023323615160349854
FBgn0260962	GO:0016567	146	15	128	0.10948905109489052
FBgn0033089	GO:0071011	14	3	141	0.03870967741935484
FBgn0003557	GO:0004842	332	11	100	0.05092592592592593
FBgn0013762	GO:0004693	91	1	10	0.019801980198019806
FBgn0027287	GO:0016192	15	4	140	0.05161290322580645
FBgn0001624	GO:0005886	249	54	1051	0.08307692307692308
FBgn0000352	GO:0019901	36	2	60	0.04166666666666667
FBgn0026400	GO:0008270	21	5	515	0.018656716417910446
FBgn0043903	GO:0007259	81	5	5	0.11627906976744184
FBgn0005631	GO:0005515	31	12	957	0.024291497975708502
FBgn0052438	GO:0016887	35	3	236	0.022140221402214028
FBgn0036411	GO:0005634	33	12	2249	0.010517090271691497
FBgn0041147	GO:0045842	28	1	8	0.05555555555555556
FBgn0036376	GO:0007412	28	1	12	0.05
FBgn0028686	GO:0008540	177	11	11	0.11702127659574468
FBgn0035977	GO:0042834	4	1	18	0.0909090909090909
FBgn0021796	GO:0048813	136	7	127	0.0532319391634981
FBgn0034842	GO:0005839	88	23	25	0.4070796460176991
FBgn0283468	GO:0046843	311	3	56	0.016348773841961855
FBgn0036136	GO:0000502	64	3	30	0.06382978723404256
FBgn0261385	GO:0032154	42	6	36	0.15384615384615383
FBgn0285926	GO:0010468	22	1	95	0.017094017094017096
FBgn0020378	GO:0043565	10	1	206	0.009259259259259259
FBgn0051388	GO:0008270	4	3	515	0.011560693641618497
FBgn0004583	GO:0032456	22	1	35	0.03508771929824561
FBgn0026262	GO:0045944	47	10	323	0.05405405405405406
FBgn0010015	GO:0005737	113	37	1862	0.03746835443037975
FBgn0001179	GO:0006366	57	10	41	0.2040816326530612
FBgn0033579	GO:0007186	8	1	155	0.012269938650306749
FBgn0086347	GO:0007368	104	1	5	0.01834862385321101
FBgn0000146	GO:0048477	34	9	247	0.06405693950177935
FBgn0011592	GO:0005886	83	7	1051	0.012345679012345678
FBgn0028426	GO:0005829	21	1	1081	0.0018148820326678767
FBgn0000479	GO:0008355	35	2	39	0.05405405405405405
FBgn0023519	GO:0005762	9	1	49	0.034482758620689655
FBgn0085432	GO:1990907	61	3	3	0.09375
FBgn0038206	GO:0005737	22	8	1862	0.008492569002123142
FBgn0035064	GO:0005739	17	2	622	0.006259780907668232
FBgn0032006	GO:0007443	94	1	34	0.015625
FBgn0035357	GO:0005654	60	3	197	0.023346303501945526
FBgn0004956	GO:0007538	6	2	3	0.4444444444444444
FBgn0001125	GO:0003824	50	3	203	0.023715415019762848
FBgn0034012	GO:0006357	12	2	614	0.006389776357827477
FBgn0086356	GO:0097149	62	2	3	0.06153846153846154
FBgn0039214	GO:0016579	20	2	37	0.07017543859649122
FBgn0265264	GO:0019953	30	2	219	0.01606425702811245
FBgn0038862	GO:0016322	46	4	42	0.0909090909090909
FBgn0013718	GO:0030496	46	1	29	0.026666666666666665
FBgn0039044	GO:0005634	208	89	2249	0.07244607244607244
FBgn0015527	GO:0005730	82	31	300	0.16230366492146595
FBgn0000179	GO:0000122	17	3	221	0.025210084033613446
FBgn0027535	GO:0030210	39	2	2	0.09756097560975609
FBgn0261854	GO:0016327	119	6	21	0.08571428571428572
FBgn0029532	GO:0005575	3	1	2645	0.0007552870090634441
FBgn0037344	GO:0008270	41	4	515	0.014388489208633093
FBgn0027364	GO:0003677	96	1	609	0.0028368794326241132
FBgn0037170	GO:0016491	20	1	214	0.008547008547008546
FBgn0037121	GO:0001054	308	8	9	0.05047318611987382
FBgn0004644	GO:0007224	29	6	9	0.31578947368421056
FBgn0020270	GO:0000723	51	4	22	0.10958904109589042
FBgn0000299	GO:0030198	238	2	28	0.015037593984962407
FBgn0036813	GO:0044804	29	2	5	0.1176470588235294
FBgn0000658	GO:0005737	25	7	1862	0.007419183889772123
FBgn0039115	GO:0005739	26	2	622	0.00617283950617284
FBgn0033912	GO:0022626	96	15	174	0.11111111111111112
FBgn0025637	GO:0006511	364	20	135	0.08016032064128256
FBgn0283442	GO:0003730	19	1	121	0.014285714285714287
FBgn0040608	GO:0003674	9	1	3149	0.0006333122229259026
FBgn0001133	GO:0005634	89	36	2249	0.030795551753635592
FBgn0037446	GO:0008270	24	5	515	0.018552875695732836
FBgn0030521	GO:0006508	41	4	497	0.014869888475836434
FBgn0001263	GO:0009881	144	1	4	0.013513513513513514
FBgn0023083	GO:0004672	32	8	230	0.061068702290076333
FBgn0024250	GO:0000977	91	2	162	0.015810276679841896
FBgn0011710	GO:0031105	33	4	4	0.21621621621621626
FBgn0034087	GO:0055059	189	4	28	0.03686635944700461
FBgn0000163	GO:0045186	56	6	8	0.1875
FBgn0038550	GO:0008270	17	2	515	0.007518796992481203
FBgn0052110	GO:0006508	209	1	497	0.0028328611898017
FBgn0005198	GO:0051726	219	2	39	0.015503875968992246
FBgn0014396	GO:0007617	36	1	13	0.04081632653061225
FBgn0034570	GO:0005634	8	1	2249	0.0008861320336730172
FBgn0003015	GO:0007318	86	3	11	0.06185567010309278
FBgn0001986	GO:0000398	116	13	228	0.0755813953488372
FBgn0038827	GO:0036297	31	3	11	0.14285714285714285
FBgn0039387	GO:0005576	120	1	498	0.0032362459546925564
FBgn0028369	GO:0007156	20	2	46	0.06060606060606061
FBgn0032409	GO:0007520	15	4	31	0.17391304347826086
FBgn0045862	GO:0035145	111	2	6	0.03418803418803419
FBgn0261592	GO:0003735	238	54	289	0.2049335863377609
FBgn0000667	GO:0045214	208	8	34	0.06611570247933884
FBgn0039039	GO:0045944	2	1	323	0.006153846153846154
FBgn0033791	GO:0046982	18	2	216	0.017094017094017092
FBgn0023175	GO:0010498	324	23	26	0.13142857142857142
FBgn0011666	GO:0003729	85	12	204	0.08304498269896193
FBgn0020412	GO:0006325	150	6	119	0.04460966542750929
FBgn0030366	GO:0016579	151	3	37	0.03191489361702128
FBgn0011703	GO:0009263	80	1	1	0.02469135802469136
FBgn0026404	GO:0045476	25	1	13	0.052631578947368425
FBgn0015618	GO:0036011	112	4	12	0.06451612903225806
FBgn0260942	GO:0042811	205	2	4	0.019138755980861243
FBgn0003093	GO:0007616	102	2	74	0.022727272727272728
FBgn0000606	GO:0006355	15	7	501	0.027131782945736434
FBgn0004921	GO:0005834	49	4	13	0.12903225806451613
FBgn0033783	GO:0061630	19	1	147	0.012048192771084336
FBgn0263144	GO:0008168	123	1	48	0.011695906432748539
FBgn0260648	GO:0003723	150	12	485	0.03779527559055118
FBgn0036696	GO:0033204	13	6	8	0.5714285714285714
FBgn0283535	GO:1902600	36	8	57	0.17204301075268819
FBgn0051146	GO:0045211	10	1	39	0.04081632653061225
FBgn0030589	GO:0050660	4	1	60	0.03125
FBgn0030417	GO:0006357	9	1	614	0.0032102728731942215
FBgn0024188	GO:0016747	13	1	55	0.02941176470588235
FBgn0004863	GO:0000981	73	14	414	0.057494866529774126
FBgn0004907	GO:0007165	751	33	198	0.06954689146469968
FBgn0028734	GO:0007616	250	4	74	0.02469135802469136
FBgn0263933	GO:0006979	106	2	95	0.01990049751243781
FBgn0021760	GO:0048477	33	5	247	0.03571428571428572
FBgn0013325	GO:0022626	164	51	174	0.30177514792899407
FBgn0020224	GO:0061630	164	3	147	0.019292604501607715
FBgn0029996	GO:0006511	65	6	135	0.05999999999999999
FBgn0025936	GO:0004672	89	12	230	0.07523510971786833
FBgn0004647	GO:0008356	428	8	23	0.035476718403547665
FBgn0026207	GO:0006606	61	3	48	0.055045871559633024
FBgn0040308	GO:0005615	137	11	684	0.02679658952496955
FBgn0029977	GO:0032991	5	2	76	0.04938271604938271
FBgn0026090	GO:0005737	43	9	1862	0.009448818897637795
FBgn0003410	GO:0008270	143	12	515	0.0364741641337386
FBgn0260932	GO:0048477	7	1	247	0.007874015748031496
FBgn0000015	GO:0003700	73	17	286	0.0947075208913649
FBgn0003862	GO:0035097	92	6	13	0.1142857142857143
FBgn0037341	GO:0016020	25	8	1523	0.010335917312661497
FBgn0037705	GO:0005634	18	5	2249	0.004411116012351124
FBgn0040465	GO:0009953	38	1	37	0.02666666666666667
FBgn0027356	GO:0005886	221	32	1051	0.050314465408805034
FBgn0020493	GO:0005634	17	7	2249	0.006178287731685789
FBgn0004174	GO:0005575	32	1	2645	0.0007471049682480389
FBgn0035851	GO:0005515	42	18	957	0.036036036036036036
FBgn0020224	GO:0005737	164	62	1862	0.06120434353405725
FBgn0034990	GO:0004806	26	14	54	0.35000000000000003
FBgn0033316	GO:0016973	45	4	15	0.13333333333333333
FBgn0036406	GO:0003674	13	1	3149	0.0006325110689437066
FBgn0031710	GO:0032456	46	4	35	0.09876543209876543
FBgn0263251	GO:0031415	48	2	2	0.07999999999999999
FBgn0036571	GO:0071203	14	2	6	0.2
FBgn0266557	GO:0006338	53	8	80	0.12030075187969926
FBgn0014179	GO:0001228	33	1	91	0.016129032258064516
FBgn0004102	GO:0001745	25	1	118	0.013986013986013988
FBgn0038816	GO:0018105	72	1	9	0.024691358024691357
FBgn0263667	GO:0042393	23	2	59	0.04878048780487805
FBgn0001321	GO:0035151	3	1	19	0.09090909090909091
FBgn0261854	GO:0055059	119	9	28	0.12244897959183673
FBgn0037999	GO:0005739	7	1	622	0.0031796502384737677
FBgn0031261	GO:0016020	5	2	1523	0.002617801047120418
FBgn0037351	GO:0003729	174	12	204	0.0634920634920635
FBgn0014018	GO:0061057	262	9	17	0.06451612903225806
FBgn0019972	GO:0005737	125	54	1862	0.054353296426774035
FBgn0263231	GO:0043025	284	5	149	0.02309468822170901
FBgn0035272	GO:0005762	23	6	49	0.16666666666666666
FBgn0283427	GO:0005977	115	1	7	0.01639344262295082
FBgn0010379	GO:0005938	349	8	99	0.03571428571428571
FBgn0025866	GO:0016322	60	2	42	0.0392156862745098
FBgn0011739	GO:0007424	150	3	93	0.024691358024691357
FBgn0022959	GO:0003729	121	20	204	0.1230769230769231
FBgn0266672	GO:0016192	47	10	140	0.10695187165775401
FBgn0034909	GO:0016020	24	5	1523	0.006464124111182934
FBgn0020653	GO:0016209	59	1	9	0.02941176470588235
FBgn0262937	GO:0030139	23	1	18	0.04878048780487805
FBgn0024179	GO:0030509	59	4	10	0.11594202898550726
FBgn0250903	GO:0016567	44	6	128	0.06976744186046512
FBgn0004050	GO:0045893	27	5	144	0.0584795321637427
FBgn0033304	GO:0020037	160	52	137	0.3501683501683502
FBgn0015773	GO:0008045	47	3	69	0.05172413793103448
FBgn0264922	GO:0005634	1210	426	2249	0.24631396357328708
FBgn0036294	GO:0006355	25	5	501	0.019011406844106467
FBgn0085326	GO:0005737	3	1	1862	0.0010723860589812334
FBgn0000662	GO:0000381	75	9	86	0.11180124223602485
FBgn0039835	GO:0005762	7	1	49	0.03571428571428571
FBgn0031604	GO:0002926	35	2	2	0.1081081081081081
FBgn0004177	GO:0035331	538	15	44	0.051546391752577324
FBgn0000179	GO:0003700	17	1	286	0.0066006600660066
FBgn0040010	GO:0007099	48	2	25	0.0547945205479452
FBgn0283473	GO:0005737	193	57	1862	0.05547445255474452
FBgn0011211	GO:0015986	127	14	19	0.19178082191780824
FBgn0264691	GO:0045793	131	4	40	0.04678362573099415
FBgn0027620	GO:0016590	35	1	1	0.05555555555555556
FBgn0032052	GO:0005783	7	1	314	0.006230529595015577
FBgn0002914	GO:0045931	102	1	8	0.01818181818181818
FBgn0262582	GO:0005634	28	11	2249	0.00966183574879227
FBgn0263231	GO:0005829	284	39	1081	0.05714285714285714
FBgn0002936	GO:0043231	31	1	66	0.020618556701030927
FBgn0034877	GO:0005743	49	3	96	0.041379310344827586
FBgn0040075	GO:0000812	209	3	5	0.028037383177570093
FBgn0001235	GO:0005634	114	58	2249	0.04909013965298349
FBgn0250823	GO:0090263	374	4	50	0.018867924528301886
FBgn0265630	GO:0005634	8	3	2249	0.0026583961010190516
FBgn0004406	GO:0006261	9	1	24	0.06060606060606061
FBgn0020764	GO:0003824	32	2	203	0.01702127659574468
FBgn0035423	GO:0016282	192	3	4	0.030612244897959183
FBgn0011817	GO:0045887	72	2	42	0.03508771929824561
FBgn0030600	GO:0005515	25	7	957	0.014256619144602852
FBgn0014028	GO:0009055	67	1	15	0.024390243902439022
FBgn0027948	GO:0007143	38	2	42	0.05
FBgn0042185	GO:0005739	72	5	622	0.014409221902017289
FBgn0038244	GO:0005634	35	10	2249	0.008756567425569177
FBgn0266599	GO:0007413	709	1	16	0.0027586206896551726
FBgn0001142	GO:0005739	122	17	622	0.04569892473118279
FBgn0262451	GO:0035195	11	4	155	0.048192771084337345
FBgn0016920	GO:0016020	52	7	1523	0.008888888888888889
FBgn0003731	GO:0048865	638	3	4	0.009345794392523366
FBgn0260467	GO:0070072	26	3	7	0.18181818181818182
FBgn0001324	GO:0006357	57	31	614	0.09239940387481371
FBgn0003716	GO:0030509	198	7	10	0.0673076923076923
FBgn0265464	GO:0045746	298	3	40	0.01775147928994083
FBgn0035907	GO:0004364	49	3	39	0.06818181818181818
FBgn0259937	GO:0042254	175	10	27	0.099009900990099
FBgn0037324	GO:0032590	3	2	66	0.057971014492753624
FBgn0036486	GO:0140664	54	4	8	0.12903225806451613
FBgn0051852	GO:0007472	44	1	26	0.028571428571428574
FBgn0039936	GO:0005515	73	28	957	0.05436893203883496
FBgn0030863	GO:0016567	39	8	128	0.09580838323353294
FBgn0004587	GO:0051607	349	1	42	0.005115089514066496
FBgn0262579	GO:0007165	56	2	198	0.015748031496062992
FBgn0037569	GO:0006406	26	9	27	0.33962264150943394
FBgn0028473	GO:0005525	216	5	155	0.026954177897574122
FBgn0039019	GO:0035064	19	1	28	0.0425531914893617
FBgn0032815	GO:0006357	12	2	614	0.006389776357827477
FBgn0086785	GO:0045450	19	1	21	0.05
FBgn0284442	GO:0016887	11	1	236	0.008097165991902834
FBgn0010501	GO:0045476	126	3	13	0.04316546762589929
FBgn0016696	GO:0045752	125	2	22	0.0272108843537415
FBgn0024238	GO:0045179	139	2	49	0.02127659574468085
FBgn0261564	GO:0005783	54	3	314	0.016304347826086956
FBgn0029504	GO:0003700	20	2	286	0.0130718954248366
FBgn0001122	GO:0060857	62	2	18	0.049999999999999996
FBgn0019624	GO:0006123	48	5	20	0.14705882352941177
FBgn0026316	GO:0005634	43	21	2249	0.018324607329842927
FBgn0003339	GO:0045944	39	23	323	0.12707182320441987
FBgn0051092	GO:0005886	22	5	1051	0.009319664492078286
FBgn0025454	GO:0017085	133	1	16	0.013422818791946308
FBgn0086359	GO:0022900	31	1	9	0.049999999999999996
FBgn0027528	GO:0048477	21	1	247	0.00746268656716418
FBgn0029891	GO:1904061	53	1	2	0.03636363636363636
FBgn0003449	GO:0000398	110	42	228	0.24852071005917156
FBgn0010303	GO:0043068	62	4	21	0.09638554216867469
FBgn0028700	GO:0003689	65	6	6	0.16901408450704225
FBgn0011592	GO:0016020	83	5	1523	0.0062266500622665
FBgn0034863	GO:0031146	97	14	60	0.17834394904458598
FBgn0004110	GO:0008354	12	2	35	0.0851063829787234
FBgn0003460	GO:0000981	30	2	414	0.009009009009009009
FBgn0030341	GO:0030134	21	1	19	0.05
FBgn0001250	GO:0007435	58	1	47	0.01904761904761905
FBgn0030575	GO:0005739	11	3	622	0.009478672985781991
FBgn0052350	GO:0016567	12	1	128	0.014285714285714285
FBgn0035590	GO:0004674	76	1	157	0.008583690987124465
FBgn0024836	GO:0016020	35	3	1523	0.0038510911424903716
FBgn0003371	GO:0007165	771	22	198	0.04540763673890608
FBgn0033352	GO:0005515	233	31	957	0.052100840336134456
FBgn0021872	GO:0034976	50	1	35	0.023529411764705885
FBgn0033320	GO:0006508	68	18	497	0.06371681415929203
FBgn0266670	GO:0016080	76	5	6	0.12195121951219512
FBgn0030000	GO:0005730	73	28	300	0.15013404825737264
FBgn0026432	GO:0005813	12	9	119	0.13740458015267173
FBgn0261461	GO:0007165	23	3	198	0.027149321266968323
FBgn0011604	GO:0016887	132	11	236	0.05978260869565217
FBgn0038630	GO:0004674	16	3	157	0.034682080924855495
FBgn0028693	GO:0006511	102	25	135	0.21097046413502107
FBgn0036844	GO:0042059	23	1	34	0.035087719298245605
FBgn0267728	GO:0060828	5	1	5	0.20000000000000004
FBgn0039858	GO:0016538	184	2	15	0.020100502512562814
FBgn0002781	GO:0007060	91	2	19	0.03636363636363636
FBgn0032925	GO:0030691	96	1	1	0.020618556701030924
FBgn0000533	GO:0004252	11	3	279	0.020689655172413796
FBgn0003495	GO:0009950	16	7	24	0.35000000000000003
FBgn0003117	GO:0003700	57	8	286	0.0466472303206997
FBgn0262871	GO:0005829	10	1	1081	0.0018331805682859762
FBgn0010235	GO:0005737	99	24	1862	0.02447730749617542
FBgn0260856	GO:0005794	46	8	239	0.05614035087719298
FBgn0003744	GO:0007165	79	7	198	0.05054151624548736
FBgn0011278	GO:0000981	11	6	414	0.02823529411764706
FBgn0025638	GO:0061630	98	1	147	0.00816326530612245
FBgn0026317	GO:0046627	202	2	28	0.017391304347826087
FBgn0025815	GO:0006260	84	12	46	0.1846153846153846
FBgn0038909	GO:0003674	39	6	3149	0.0037641154328732756
FBgn0032136	GO:0032370	37	1	1	0.052631578947368425
FBgn0032956	GO:0007281	269	11	51	0.06875
FBgn0033528	GO:0005634	51	16	2249	0.01391304347826087
FBgn0003984	GO:0007173	26	4	24	0.16
FBgn0010341	GO:0042060	109	3	63	0.03488372093023256
FBgn0266756	GO:0016324	7	2	90	0.04123711340206186
FBgn0010339	GO:0005525	196	4	155	0.02279202279202279
FBgn0023388	GO:0016197	146	4	30	0.045454545454545456
FBgn0001139	GO:0007399	167	3	87	0.023622047244094484
FBgn0036134	GO:0051607	87	1	42	0.015503875968992246
FBgn0010217	GO:0015986	232	12	19	0.09561752988047809
FBgn0000504	GO:0000981	67	4	414	0.016632016632016633
FBgn0037093	GO:0008353	78	1	2	0.025
FBgn0033987	GO:0005925	14	1	30	0.045454545454545456
FBgn0044020	GO:0016567	14	3	128	0.04225352112676056
FBgn0032258	GO:0006891	45	6	26	0.16901408450704225
FBgn0020909	GO:0000479	43	1	2	0.04444444444444444
FBgn0000146	GO:0034584	34	1	4	0.05263157894736842
FBgn0010288	GO:0016579	121	1	37	0.012658227848101266
FBgn0020299	GO:0008543	43	2	24	0.059701492537313425
FBgn0052706	GO:0003676	55	15	368	0.07092198581560284
FBgn0030292	GO:0005747	18	2	51	0.05797101449275362
FBgn0029891	GO:0030382	53	1	8	0.03278688524590164
FBgn0261549	GO:0007602	27	2	47	0.05405405405405405
FBgn0037705	GO:0004842	18	2	100	0.03389830508474577
FBgn0004227	GO:0003729	154	15	204	0.08379888268156425
FBgn0011591	GO:0005737	27	5	1862	0.005293806246691371
FBgn0031950	GO:0030968	20	3	15	0.17142857142857143
FBgn0264978	GO:0048190	65	1	54	0.01680672268907563
FBgn0033485	GO:0005730	100	32	300	0.16
FBgn0000499	GO:0007391	210	12	103	0.07667731629392972
FBgn0003866	GO:0001227	38	1	55	0.02150537634408602
FBgn0267975	GO:0048137	22	1	15	0.05405405405405406
FBgn0033539	GO:0005096	101	1	84	0.01081081081081081
FBgn0038300	GO:0032116	7	1	1	0.25
FBgn0002707	GO:0006281	40	5	85	0.07999999999999999
FBgn0015372	GO:0045202	19	1	100	0.016806722689075633
FBgn0262866	GO:0006468	269	18	237	0.07114624505928853
FBgn0031059	GO:0003674	71	1	3149	0.0006211180124223603
FBgn0011230	GO:0007291	59	1	59	0.01694915254237288
FBgn0085425	GO:0016020	6	1	1523	0.0013080444735120993
FBgn0036282	GO:0005634	7	5	2249	0.004432624113475177
FBgn0260444	GO:0006402	19	2	21	0.1
FBgn0000377	GO:0016607	192	5	30	0.04504504504504505
FBgn0013764	GO:0007476	139	7	136	0.050909090909090904
FBgn0004396	GO:0006357	94	3	614	0.008474576271186439
FBgn0026430	GO:0007020	20	6	18	0.3157894736842105
FBgn0011288	GO:0007274	49	5	56	0.09523809523809523
FBgn0061469	GO:0061630	66	3	147	0.02816901408450704
FBgn0010660	GO:0005643	38	5	36	0.13513513513513511
FBgn0033556	GO:0000398	25	4	228	0.03162055335968379
FBgn0010397	GO:0031507	198	6	75	0.04395604395604395
FBgn0035793	GO:0051787	91	1	6	0.02061855670103093
FBgn0031051	GO:0005634	72	25	2249	0.021542438604049977
FBgn0030956	GO:0003676	30	2	368	0.010050251256281407
FBgn0014020	GO:0035277	144	5	22	0.060240963855421686
FBgn0036372	GO:0030424	73	2	160	0.01716738197424893
FBgn0004449	GO:0034110	707	1	1	0.0028248587570621473
FBgn0034728	GO:0030870	93	2	2	0.04210526315789474
