protein	goTerm	degree	score
FBgn0039881	GO:0051793	19	0.01462225832656377
FBgn0005198	GO:0033596	256	0.20714865962632006
FBgn0000490	GO:0033596	123	0.09910641754670999
FBgn0285911	GO:0030897	28	0.021933387489845652
FBgn0003118	GO:0030897	134	0.10804224207961008
FBgn0054024	GO:0008150	3	0.0016246953696181965
FBgn0013811	GO:0008150	30	0.023558082859463852
FBgn0032006	GO:0038085	130	0.10479285134037368
FBgn0003525	GO:0038085	98	0.07879772542648253
FBgn0053409	GO:0003735	4	0.002437043054427295
FBgn0036652	GO:0003735	30	0.023558082859463852
FBgn0050345	GO:0022857	15	0.011372867587327376
FBgn0032470	GO:0022857	7	0.00487408610885459
FBgn0031759	GO:0070193	125	0.10073111291632819
FBgn0000247	GO:0070193	12	0.008935824532900082
FBgn0023395	GO:0003682	17	0.012997562956945572
FBgn0037950	GO:0003682	15	0.011372867587327376
FBgn0023388	GO:0016197	163	0.13160032493907392
FBgn0027620	GO:0016197	51	0.04061738424045491
FBgn0053807	GO:0045910	12	0.008935824532900082
FBgn0001297	GO:0045910	141	0.11372867587327376
FBgn0036990	GO:0006412	97	0.07798537774167344
FBgn0030088	GO:0006412	26	0.020308692120227456
FBgn0003130	GO:0007480	34	0.026807473598700244
FBgn0028913	GO:0007480	18	0.01380991064175467
FBgn0035132	GO:0008340	7	0.00487408610885459
FBgn0262373	GO:0008340	10	0.007311129163281885
FBgn0266722	GO:1990072	46	0.036555645816409424
FBgn0020249	GO:1990072	81	0.06498781478472786
FBgn0000147	GO:0045167	435	0.35255889520714867
FBgn0052260	GO:0045167	2	0.0008123476848090983
FBgn0000234	GO:0001700	3	0.0016246953696181965
FBgn0026257	GO:0001700	30	0.023558082859463852
FBgn0039325	GO:0005575	4	0.002437043054427295
FBgn0032154	GO:0005575	31	0.024370430544272948
FBgn0004872	GO:0005634	84	0.06742485783915515
FBgn0259990	GO:0005634	4	0.002437043054427295
FBgn0035976	GO:0019731	120	0.0966693744922827
FBgn0010441	GO:0019731	101	0.08123476848090982
FBgn0250824	GO:0003674	4	0.002437043054427295
FBgn0051522	GO:0003674	363	0.29406986190089357
FBgn0031803	GO:0006814	6	0.004061738424045491
FBgn0015509	GO:0006814	452	0.36636880584890336
FBgn0016691	GO:1902600	80	0.06417546709991877
FBgn0002891	GO:1902600	41	0.03249390739236393
FBgn0051992	GO:0005515	63	0.050365556458164096
FBgn0011474	GO:0005515	16	0.012185215272136474
FBgn0039703	GO:0006508	44	0.034930950446791224
FBgn0038197	GO:0006508	242	0.1957757920389927
FBgn0036629	GO:0005524	18	0.01380991064175467
FBgn0002914	GO:0005524	125	0.10073111291632819
FBgn0001105	GO:0003380	126	0.10154346060113728
FBgn0005640	GO:0003380	373	0.3021933387489846
FBgn0264077	GO:0005783	71	0.05686433793663688
FBgn0033600	GO:0005783	11	0.008123476848090982
FBgn0039709	GO:0007156	28	0.021933387489845652
FBgn0039863	GO:0007156	23	0.017871649065800164
FBgn0026876	GO:0034085	34	0.026807473598700244
FBgn0024248	GO:0034085	137	0.11047928513403736
FBgn0034087	GO:0043022	201	0.16246953696181965
FBgn0040283	GO:0043022	100	0.08042242079610074
FBgn0039254	GO:0000309	42	0.03330625507717303
FBgn0038790	GO:0000309	5	0.003249390739236393
FBgn0260388	GO:0055085	5	0.003249390739236393
FBgn0053834	GO:0055085	11	0.008123476848090982
FBgn0038519	GO:0006979	68	0.054427294882209584
FBgn0264000	GO:0006979	41	0.03249390739236393
FBgn0028987	GO:0005615	48	0.038180341186027617
FBgn0050389	GO:0005615	10	0.007311129163281885
FBgn0000611	GO:0006357	104	0.08367181153533712
FBgn0027088	GO:0006357	64	0.05117790414297319
FBgn0017550	GO:0000289	26	0.020308692120227456
FBgn0011722	GO:0000289	23	0.017871649065800164
FBgn0028931	GO:0003677	31	0.024370430544272948
FBgn0264922	GO:0003677	1232	1.0
FBgn0288833	GO:0006310	6	0.004061738424045491
FBgn0023076	GO:0006310	82	0.06580016246953696
FBgn0265262	GO:0033176	24	0.01868399675060926
FBgn0030735	GO:0033176	30	0.023558082859463852
FBgn0036978	GO:0038023	34	0.026807473598700244
